
1501377300.000,Sunday, 2017-07-30, 03:15:00,54.867,24.700,21.000,24.000,1501377454.902,Sunday, 2017-07-30, 03:17:34,
1501377600.000,Sunday, 2017-07-30, 03:20:00,54.967,24.700,21.000,24.000,1501377754.885,Sunday, 2017-07-30, 03:22:34,
1501377900.000,Sunday, 2017-07-30, 03:25:00,54.900,24.700,21.000,24.000,1501378062.500,Sunday, 2017-07-30, 03:27:42,
1501378200.000,Sunday, 2017-07-30, 03:30:00,54.800,24.700,21.000,24.000,1501378359.957,Sunday, 2017-07-30, 03:32:39,
1501378500.000,Sunday, 2017-07-30, 03:35:00,54.733,24.700,21.000,24.000,1501378657.386,Sunday, 2017-07-30, 03:37:37,
1501378800.000,Sunday, 2017-07-30, 03:40:00,54.700,24.700,21.000,24.000,1501378957.440,Sunday, 2017-07-30, 03:42:37,
1501379100.000,Sunday, 2017-07-30, 03:45:00,54.600,24.700,21.000,24.000,1501379254.908,Sunday, 2017-07-30, 03:47:34,
1501379400.000,Sunday, 2017-07-30, 03:50:00,54.567,24.700,21.000,24.000,1501379557.435,Sunday, 2017-07-30, 03:52:37,
1501379700.000,Sunday, 2017-07-30, 03:55:00,54.500,24.700,21.000,24.000,1501379859.957,Sunday, 2017-07-30, 03:57:39,
1501380000.000,Sunday, 2017-07-30, 04:00:00,54.467,24.700,21.000,24.000,1501380154.907,Sunday, 2017-07-30, 04:02:34,
1501380300.000,Sunday, 2017-07-30, 04:05:00,54.533,24.700,21.000,24.000,1501380454.908,Sunday, 2017-07-30, 04:07:34,
1501380600.000,Sunday, 2017-07-30, 04:10:00,54.533,24.700,21.000,24.000,1501380754.908,Sunday, 2017-07-30, 04:12:34,
1501380900.000,Sunday, 2017-07-30, 04:15:00,54.733,24.700,21.000,24.000,1501381057.398,Sunday, 2017-07-30, 04:17:37,
1501381200.000,Sunday, 2017-07-30, 04:20:00,54.633,24.700,21.000,24.000,1501381362.497,Sunday, 2017-07-30, 04:22:42,
1501381500.000,Sunday, 2017-07-30, 04:25:00,54.500,24.667,21.000,24.000,1501381657.427,Sunday, 2017-07-30, 04:27:37,
1501381800.000,Sunday, 2017-07-30, 04:30:00,54.567,24.700,21.000,24.000,1501381954.909,Sunday, 2017-07-30, 04:32:34,
1501382100.000,Sunday, 2017-07-30, 04:35:00,54.633,24.633,21.000,24.000,1501382257.439,Sunday, 2017-07-30, 04:37:37,
1501382400.000,Sunday, 2017-07-30, 04:40:00,54.667,24.667,21.000,24.000,1501382559.966,Sunday, 2017-07-30, 04:42:39,
1501382700.000,Sunday, 2017-07-30, 04:45:00,54.567,24.667,21.000,24.000,1501382857.437,Sunday, 2017-07-30, 04:47:37,
1501383000.000,Sunday, 2017-07-30, 04:50:00,54.467,24.600,21.000,24.000,1501383157.437,Sunday, 2017-07-30, 04:52:37,
1501383300.000,Sunday, 2017-07-30, 04:55:00,54.533,24.667,21.000,24.000,1501383454.889,Sunday, 2017-07-30, 04:57:34,
1501383600.000,Sunday, 2017-07-30, 05:00:00,54.433,24.667,21.000,24.000,1501383754.909,Sunday, 2017-07-30, 05:02:34,
1501383900.000,Sunday, 2017-07-30, 05:05:00,54.533,24.633,21.000,24.000,1501384059.967,Sunday, 2017-07-30, 05:07:39,
1501384200.000,Sunday, 2017-07-30, 05:10:00,54.433,24.633,21.000,24.000,1501384354.909,Sunday, 2017-07-30, 05:12:34,
1501384500.000,Sunday, 2017-07-30, 05:15:00,54.367,24.600,21.000,24.000,1501384654.907,Sunday, 2017-07-30, 05:17:34,
1501384800.000,Sunday, 2017-07-30, 05:20:00,54.567,24.600,21.000,24.000,1501384957.407,Sunday, 2017-07-30, 05:22:37,
1501385100.000,Sunday, 2017-07-30, 05:25:00,54.333,24.600,21.000,24.000,1501385254.908,Sunday, 2017-07-30, 05:27:34,
